id,name,ingredients,allergenRaw,allergensmapped,link
21, Crevette Panees Lidl,"  shrimp tails penaeus vannamei crustaceans, breadcrumbs wheat flour, yeast, salt, water, vegetable oils rapeseed and sunflower in varying proportions, wheat flour, wheat starch, potato starch, egg white powder, salt, stabilizer methylcellulose, raising agents disodium diphosphate and sodium hydrogen carbonate, antioxidant sodium metabisulfite sulfites"," crustaceans, eggs, gluten, sulphur dioxide and sulphites","wheat, egg, shellfish", https://world.openfoodfacts.org/product/4056489676706/crevette-panees-lidl 
22, Kiri Carre 8p," fromage blanc soft white cheese, rehydrated skimmed milk, milk fat, milk proteins, melting salts polyphosphate, tricalcium phosphate, citric acid, modified starch, salt, thickener carrageenan", milk,milk, https://world.openfoodfacts.org/product/6111028000980/kiri-carre-8p 
23, Double Zero Cerise Danone,"skimmed milk, skimmed milk powder, fruit preparations, thickener starch, whey, flavorings, natural colorings turmeric and carmine, sweetener stevia, yogurt cultures"," gluten, milk","wheat, milk", https://world.openfoodfacts.org/product/6111032010135/double-zero-cerise-danone 
24, Babybel," pasteurised milk, salt lactic ferments, vegetarian rennet", milk,milk, https://world.openfoodfacts.org/product/3073780918763/babybel 
25, La Buche Fondante Lactalis," pasteurized goats milk origin france, salt, cultures", milk,milk, https://world.openfoodfacts.org/product/3228021170053/la-buche-fondante-lactalis 
26, Lait Matin Leger Lactel," milk at  fat, sterilized uht, lactosefree g ml and fortified with vitamin d ingredients  fat milk origin france, lactase, vitamin d", milk,milk, https://world.openfoodfacts.org/product/3428273980046/lait-100-francais-matin-leger-demi-ecreme-lactel 
27, Tortellini Jambon Cru Lustucru," dough  durum wheat semolina, fresh eggs from freerange hens , water, filling  drycured ham pork ham, salt , water, breadcrumbs wheat flour, water, salt, yeast, crme frache , dehydrated potatoesspice turmeric, hard cheese, whey milk, rapeseed andor sunflower oil, natural flavorings wheat, milk, pasteurized butter, salt, basil, pepper, nutmeg"," eggs, gluten, milk","egg, milk, wheat", https://world.openfoodfacts.org/product/3240931548241/tortellini-jambon-cru-lustucru 
28, Medium Egg Noodles Aldi," wheat flour, durum wheat flour, pasteurised free range egg , salt, acidity regulator potassium carbonates","  eggs, gluten","egg, wheat", https://world.openfoodfacts.org/product/4088600401096/medium-egg-noodles-aldi 
29, Mayonnaise Classique Lesieur," rapeseed oil origin france , water, egg yolks from freerange hens , vinegars spirit vinegar, white wine vinegar, dijon mustard  water, mustard seed, vinegar, salt, antioxidant potassium metabisulfite, acidifier citric acid, sugar, salt, modified starch, concentrated lemon juice, colorings lutein and paprika extract, flavoring"," eggs, mustard, sulphur dioxide and sulphites",egg, https://world.openfoodfacts.org/product/3011360030474/mayonnaise-classique-lesieur 
30, Blueberry Muffin Nakd," dates , cashews , raisins , almonds , blueberries , natural flavouring", nuts,tree nut, https://world.openfoodfacts.org/product/5060088706534/blueberry-muffin-myrtilles-nakd 
31, Penne Rigate N 73 Barilla," durum wheat semolina, water", gluten,wheat, https://world.openfoodfacts.org/product/8076802085738/penne-rigate-n-73-barilla 
32, All-Bran Original Kellogg's," wheat bran , sugar, barley malt extract, salt, niacin, iron, vitamin b, riboflavin, thiamin, folic acid, vitamin d, vitamin b", gluten,wheat, https://world.openfoodfacts.org/product/5000127142190/all-bran-original-kellogg 
33, Wraps Old El Paso," wheat flour, water, stabilizer glycerol, sunflower oil, emulsifier mono and diglycerides of fatty acids, dextrose, raising agents sodium hydrogen carbonate, disodium diphosphate, salt", gluten,wheat, https://world.openfoodfacts.org/product/8410076472953/wraps-old-el-paso 
34, White Tortilla Wraps Tesco," wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, water, palm oil, humectant glycerol, raising agents disodium diphosphate, sodium bicarbonate, sugar, emulsifier mono  and diglycerides of fatty acids, acidity regulator citric acid, salt, preservative calcium propionate, flour treatment agent lcysteine hydrochloride", gluten,wheat, https://world.openfoodfacts.org/product/5057967342044/white-tortilla-wraps-tesco 
35, Malted Bloomer Village Bakery," wheat flour wheat flour, calcium carbonate, niacin, iron, thiamin, water, kibbled malted wheat , rye flour, yeast, rapeseed oil, salt, wheat bran, wheat semolina, malted barley flour, preservative calcium propionate, flour treatment agent ascorbic acid", gluten,wheat, https://world.openfoodfacts.org/product/4088600184197/malted-bloomer-village-bakery 
36, Menguy's Peanut 100, roasted peanuts, peanuts,peanut, https://world.openfoodfacts.org/product/3327272107969/menguy-s-peanut-100 
37, Pate d'arachide," roasted peanuts, hydrogenated vegetable oil, sugar, salt", peanuts,peanut, https://world.openfoodfacts.org/product/8198701234564/250623-pate-d-arachide 
38, Crunchy Peanut Butter Whole Earth," roasted peanuts , sustainable palm oil, sea salt", peanuts,peanut, https://world.openfoodfacts.org/product/5013665108801/crunchy-peanut-butter-whole-earth 
39, Crunchy Peanut Butter Meridian, roasted peanuts , peanuts,peanut, https://world.openfoodfacts.org/product/5014213711290/crunchy-peanut-butter-meridian 
40, Beurre de Cacahuètes Whole Earth," roasted peanuts peanuts , sea salt", peanuts,peanut, https://world.openfoodfacts.org/product/5013665115571/beurre-de-cacahuetes-whole-earth 
41, Super Nutty Wholefood M&S," cooked quinoa  water, quinoa seeds, black beans, edamame soybeans , cooked spelt water, spelt wheat contains gluten, carrots, broccoli, peanuts , vegetable oil sunflowerrapeseed, green beans, almonds , sugar, pumpkin seeds, pistachio nuts , concentrated apple juice, ginger pure, rice vinegar, coriander, white wine vinegar, salt, lime juice, concentrated pomegranate juice, red wine vinegar, cornflour, soybeans, lemon juice, wheat contains gluten red chilli pure, garlic pure"," gluten, nuts, peanuts, soybeans","wheat, peanut, tree nut, soy", https://world.openfoodfacts.org/product/00797016/super-nutty-wholefood-m-s 
42, Spaghetti Prawns & Black Pepper Sauce," spaghetti noodles , black pepper sauce , onion , shrimp , bell pepper , peppercorn , natural flavoring black pepper flavor"," gluten, crustaceans","shellfish, wheat", https://world.openfoodfacts.org/product/8850231800861/spaghetti-prawns-and-black-pepper-sauce-s-p 
43, 24 Escargots à la Bourguignonne Auchan," cooked snail meat mollusks helix lucorum , butter milk , parsley , garlic , shallot , salt, pepper, aromatic herbs contains celery prepared using milk from the eu"," celery, milk, molluscs","milk, shellfish", https://world.openfoodfacts.org/product/3596710441891/24-escargots-prepares-a-la-bourguignonne-belle-grosseur-auchan 
44, Coq au Vin Auchan," brined and precooked bonein chicken thigh pieces chicken thigh pieces  eu origin, water, salt, potatoes  including preservative sodium metabisulfite, water, corbires red wine  contains sulfites, carrots , button mushrooms , onions , tomato paste, modified corn starch, rapeseed oil, coloring plain caramel, fatreduced cocoa powder, salt, natural flavorings contains milk, gelling agents guar gum and xanthan gum, sugar, pepper"," milk, sulphur dioxide and sulphites",milk, https://world.openfoodfacts.org/product/3596710411047/coq-au-vin-auchan 
45, Noix de St Jacques Pecten Maximus U," king scallop meat pecten maximus, dredgefished in the northeast atlantic ocean english channel and celtic seas", molluscs,shellfish, https://world.openfoodfacts.org/product/3256220504997/noix-de-st-jacques-pecten-maximus-pechee-en-atlantique-nord-est-barquette-250g-u 
46, Coques au naturel Spanico," cockles, water, and salt", molluscs,shellfish, https://world.openfoodfacts.org/product/3760105569556/coques-au-naturel-spanico 
47, Raekju Salat Somi," shrimp salad  mayonnaise rapeseed oil, water, egg yolks, sugar, mustard powder, salt, spices, binders e, e, preservative e, acid e, shrimp , eggs, spices salt, sugar, maltodextrin, flavorings, palm fat, yeast extract, spices, antioxidant e, black pepper, citric acid, onion powder, garlic powder, soy lecithin, anticaking agent e, fine bread wheat, margarine palm oil, rapeseed oil, water, salt, flavorings, salt, yeast, emulsifier e, flour treatment agent e"," crustaceans, eggs, gluten, soybeans","shellfish, egg, wheat, soy", https://world.openfoodfacts.org/product/7799609723924/raekju-salat-samlok-somi 
48, 12 Escargots Bourguignonne Pouce," snail meat mollusk cooked helix lucorum , butter milk origin eu or united kingdom , water, parsley , dehydrated garlic , shallot, garlic , salt, pepper, dehydrated parsley, spices and aromatic herbs contains celery"," celery, milk, molluscs","milk, shellfish", https://world.openfoodfacts.org/product/3596710547807/12-escargots-prepares-a-la-bourguignonne-calibre-moyen-pouce 
49, Shrimp Cerviche Members Mark," peeled cooked shrimp shrimp, water, salt, roma tomatoes, red onions, cucumbers, lime juice, jalapeo peppers, lime, serrano peppers, cilantro, chopped garlic blend garlic, water, citric acid preservative, sea salt, salt", crustaceans,shellfish, https://world.openfoodfacts.org/product/0226700310250/shrimp-cerviche-members-mark 
50, Dark Chocolate Bar Cranberries Macadamias," hredded coconut , dark chocolate  cocoa mass, sugar, cocoa butter, emulsifier soya lecithin, sultanas  sultanas, sunflower oil, glucose syrup, crisped rice rice, sugar, dried cranberries  cranberries, sugar, sunflower oil, honey, macadamia nuts "," milk, nuts, sesame seeds, soybeans","milk, tree nut, sesame, soy", https://world.openfoodfacts.org/product/5013803666002/dark-chocolate-bar-with-cranberries-and-macadamias-eat-natural 
51, Macadamia Nut Brittle Haagen-Dazs," fresh cream , skimmed milk concentrate, sugar, egg yolk, glucose syrup, macadamia nuts, coconut oil, butter, baking powder  sodium bicarbonate, salt, natural flavour of vanilla"," eggs, milk, nuts","milk, tree nut, egg", https://world.openfoodfacts.org/product/3415581122015/macadamia-nut-brittle-haagen-dazs 
52, Soya Blueberry Vemondo," water, soya beans , blueberries ,, modified maize starch, potato starch, thickener locust bean gum, acidity regulators citric acid, sodium citrates, malic acid, concentrated blueberry juice, calcium salts of orthophosphoric acid, calcium salts of citric acid, natural flavouring, carrot concentrate, apple extract, sea salt, vitamin b riboflavin, vitamin b, vitamin d", soybeans,soy, https://world.openfoodfacts.org/product/4056489466635/soya-blueberry-soijajogurtti-vemondo 
53, What The Cluck Vegan Chicken," soy structure  water, soy protein, natural flavourings, sunflower oil, salt, acid citric acid, vitamin b", soybeans,soy, https://world.openfoodfacts.org/product/8718692786820/what-the-cluck-vegan-chicken-style-chunks-the-vegetarian-butcher 
54, Tofu Nature Cereal Bio," water, soybeans, firming agents", soybeans,soy, https://world.openfoodfacts.org/product/3259011034000/tofu-nature-a-cuisiner-cereal-bio 
55, Tofu Suave de Seda Mori-Nu," water, soybeans, isolated soy protein", soybeans,soy, https://world.openfoodfacts.org/product/0085696000442/tofu-suave-de-seda-mori-nu 
56, High Protein Chickpea Soy Fettuccine," chickpea flour, soy protein, egg white"," soybeans, eggs","soy, egg", https://world.openfoodfacts.org/product/4056489961574/baresa-high-protein-chickpea-soy-fettuccine-37-6 
57, Like Grilled Chicken Like Meat," water, soy protein concentrate , sunflower oil, natural flavorings, paprika , sea salt, spices, herbs, sugar, paprika extract, dextrose", soybeans,soy, https://world.openfoodfacts.org/product/4260380665039/like-grilled-chicken-like-meat 
58, Dessert Dark Chocolate Alpro," water, sugar, shelled soybeans , thickener modified tapioca starch and carrageenan, cocoa , chocolate , tricalcium phosphate, flavouring, sea salt, vitamins riboflavin b d", soybeans,soy, https://world.openfoodfacts.org/product/5411188091622/dessert-dark-chocolate-flavour-alpro 
59, Sojasun a la Grecque Nature," soy juice , thickener pectin, natural flavor, calcium salt, ferments", soybeans,soy, https://world.openfoodfacts.org/product/3273221093909/sojasun-a-la-grecque-nature 
60, Cadbury Chocolate Mini Rolls," milk chocolate  sugar, cocoa mass, cocoa butter, dried skimmed milk, milk fat, vegetable fat palm, dried whey from milk, emulsifier soya lecithin, vanilla flavour filling  vegetable oils palm, rapeseed, glucose syrup, dextrose, sugar, water, emulsifier e, flavouring, sugar, wheat flour with added calcium, iron, niacin, thiamin, water, glucose syrup, humectant glycerol, dried whole egg, fat reduced cocoa, vegetable oils palm, rapeseed, dried whey from milk, soya flour, raising agents e, sodium bicarbonate, dried egg white, emulsifier e, salt","  eggs, gluten, milk, soybeans","egg, wheat, milk, soy", https://world.openfoodfacts.org/product/5000221602606/cadbury-chocolate-mini-rolls-10pk 
61, Omega-3 Fish Fingers Ocean Sea,"alaska pollock  fish, wheat flour, sunflower oil, water, potato starch, salt, spices paprika, white pepper, yeast, fish oil"," fish, gluten","fish, wheat", https://world.openfoodfacts.org/product/4056489431039/omega-3-fish-fingers-ocean-sea 
62, Colin d'Alaska Sauce Provencale Carrefour," laska pollock  theragra chalcogramma caught in the pacific ocean, crushed peeled tomatoes  tomatoes , tomato juice, onions , yellow and red peppers , fennel, grilled zucchini , basil , modified tapioca starch, double concentrated tomato paste , extra virgin olive oil , aromatic herb and vegetable preparation  basilic, garlic, oregano, parsley, sunflower oil, onion, red pepper, salt, potato starch, sugar, coloring paprika extract, sugar, coloring paprika extract, salt, garlic puree, thyme, herbes de provence ", fish,"egg, wheat, milk, soy", https://world.openfoodfacts.org/product/3245414091238/colin-d-alaska-sauce-provencale-cmi-carrefour-marchandises-internationales 
63, Filets de Maquereaux Bio Phare d'Eckmuhl," mackerel fillets scomber scombrus , water, white wine vinegar, onions , carrots , muscadet white wine , pickled gherkins gherkins , spirit vinegar, cane sugar, salt, red peppers , salt, spirit vinegar, parsley , bay leaf , thyme   ingredients from organic farming "," fish, sulphur dioxide and sulphites","fish, wheat", https://world.openfoodfacts.org/product/3263670008517/filets-de-maquereaux-marines-au-muscadet-et-aux-aromates-bio-phare-d-eckmuhl 
64, Foie Morue Fume Phare d'Eckmuhl," smoked cod liver and its naturally exuded oil , salt", fish,fish, https://world.openfoodfacts.org/product/3263670991314/foie-morue-fume-au-bois-de-hetre-phare-d-eckmuhl 
65, Batonnets Croustibat Findus," alaskan pollock mince  , coating   wheat flour  , water, vegetable oils rapeseed , , copra, wheat starch, yeast, salt, spices, natural flavouring", gluten,wheat, https://world.openfoodfacts.org/product/3599740007181/batonnets-croustibat-msc-findus 
66, California Gold Nutrition Omega-3," fish gelatin softgel gelatin from tilapia, glycerin, water, and vitamin e as natural mixed tocophenols"," fish, gelatin",fish, https://world.openfoodfacts.org/product/0898220009527/california-gold-nutrition-omega-3-premium-fish-oil 
67, Thunfisch Salat Mexicana Saupiquet," tuna , kindey beans , corn , corn germ oil, carrots , paprika , salt, flavors", fish,fish, https://world.openfoodfacts.org/product/3165950580860/thunfisch-salat-mexicana-saupiquet 
68, Salade Legumes et Thon Saupiquet," lentils , skipjack tuna , corn oil, yellow carrots , carrots , tomatoes , salt, natural flavorings may contain gluten euthynnus katsuwonus pelamis", fish,fish, https://world.openfoodfacts.org/product/3165950222272/salade-legumes-et-thon-saupiquet 
69, Boulettes de Haricots Rouges Lesieur," cooked wholegrain rice , cooked kidney beans , whole durum wheat semolina, onion, rapeseed oil , wheat flour, carrots , sesame seeds , lemon juice, smoked paprika , salt, coriander, garlic, cayenne pepper"," gluten, sesame seeds","wheat, sesame", https://world.openfoodfacts.org/product/3265470088881/ma-popote-mes-boulettes-de-haricots-rouges-lesieur 
70, Puree Sesame Blanc Jean Herve, whole white sesame seeds, sesame seeds,sesame, https://world.openfoodfacts.org/product/3390390001730/puree-sesame-blanc-tanin-jean-herve 
71, Gressins Sesame Marque Repere," wheat flour, sesame seeds , yeast, olive oil, salt, barley malt extract traces of milk and soy"," gluten, sesame seeds","wheat, sesame", https://world.openfoodfacts.org/product/3564700401132/gressins-sesame-marque-repere 
72, Gressins au Sesame Bio Village," wheat flour, sesame seeds , extra virgin olive oil , salt, yeast, barley malt flour, flour treatment agent ascorbic acid"," gluten, sesame seeds","wheat, sesame", https://world.openfoodfacts.org/product/3564707121439/gressins-au-sesame-bio-village 
73, Biscuits Tournesol Sesame Chocolat U,"wheat flour origin france , dark chocolate chips  cane sugar, cocoa mass, cocoa butter, brown cane sugar, butter , sunflower seeds , sesame seeds , whole egg powder, sea salt, raising agent sodium carbonates ingredient from organic farming potential traces of nuts, soy, and peanuts"," eggs, gluten, milk, sesame seeds","egg, wheat, milk, sesame", https://world.openfoodfacts.org/product/3256228103932/biscuits-tournesol-sesame-bio-avec-pepites-de-chocolat-140g-u 
74, Galettes de Riz au Sesame Auchan Bio," wholegrain rice , sesame seeds , sea salt organic", sesame seeds,sesame, https://world.openfoodfacts.org/product/3596710519712/galettes-de-riz-complet-au-sesame-auchan-bio 
75, Crispy Chilli Oil White Mausu," sunflower oil, peanuts , sesame seeds, chilli red chilli flakes, gochugaru, garlic, agave, tamari powder soya, sea salt, sesame oil"," peanuts, sesame seeds, soybeans","peanut, sesame, soy", https://world.openfoodfacts.org/product/5392000155503/crispy-chilli-oil-with-peanuts-and-sesame-white-mausu-peanut-r%C4%81yu 
76, Sesame Caramel Bar Korona," sesame seeds, glucose syrup, sugar", sesame,sesame, https://world.openfoodfacts.org/product/8719324585026/sesame-caramel-bar-korona 
77, Sesame Bar Eridanous," sesame seeds, glucose syrup, sugar, honey", sesame seeds,sesame, https://world.openfoodfacts.org/product/20110475/sesame-bar-eridanous 
78, Knacke au Sesame Pural," whole rye flour  , sesame   , water, sea salt ,  product of biodynamic agriculture  product of organic agriculture", sesame seeds,sesame, https://world.openfoodfacts.org/product/3184340066005/knacke-au-sesame-pural 
79, Biscuits Sesame et Epeautre Elibio," wheat flour, sugar, spelt flour , butter, sesame seeds , rapeseed oil, wheat starch, skimmed milk powder, raising agents sodium carbonates, ammonium carbonates, sea salt, natural vanilla flavoring"," wheat, sesame","wheat, sesame", https://world.openfoodfacts.org/product/3760294960301/biscuits-sesame-et-epeautre-elibio 
80, Medium Egg Noodles Sharwood's," wheat flour, pasteurised egg, salt, acidity regulator potassium carbonate"," eggs, gluten","egg, wheat", https://world.openfoodfacts.org/product/5000354910920/medium-egg-noodles-145g-sharwood-s 
81, Mayonnaise Bouton d'Or," rapeseed oil , water, dijon mustard water, mustard seeds, spirit vinegar, salt, acidifier citric acid, freerange egg yolk , spirit vinegar, sugar, salt, modified corn starch, colourings lutein and paprika extract, flavouring, thickener xanthan gum"," eggs, mustard",egg, https://world.openfoodfacts.org/product/3250390009313/mayonnaise-bouton-d-or 
82, Mayonnaise Kewpie," soybean oil, egg yolk, water, distilled vinegar, salt, rice vinegar, white balsamic vinegar, monosodium glutamate, sugar, cider vinegar, mustard flour, calcium disodium edta to protect flavor, natural flavors contains egg","eggs, mustard, soybeans","soy, egg", https://world.openfoodfacts.org/product/0033357051258/mayonnaise-kewpie 
83, Organic Nut Roast Clive's," organically produced vegetables in varying proportions  sweet potato, onion, carrot, celery, leek, spinach, chestnut , polenta , nuts in varying proportion  brazil nut, walnut, almond, seeds in varying proportion  sunflower seed, pumpkin seed, flaxseed, cranberry  cranberry, apple juice concentrate, sunflower oil, sunflower oil, bouillon salt, rice flour, onion, parsnip, carrot, olive oil, turmeric, parsley, tamari water, soya bean, salt, tomato pure, mustard, herbs and spices, sea salt approved nonorganic"," celery, mustard, nuts, soybeans",soy, https://world.openfoodfacts.org/product/5031102001249/organic-nut-roast-clive-s 
84, Lasagnes aux Legumes Lidl," water,  onions,  carrots,  zucchini,  durum wheat semolina,  crushed peeled tomatoes,  double tomato concentrate, emmental milk,  shallots, rapeseed oil,  tomato juice, crme frache milk,  green peppers,  red peppers,  egg, modified potato starch, whey powder milk, salt, wheat flour, basil, sugar, whole milk powder, garlic, celery powder, oregano, parsley, white pepper, nutmeg, acidifier citric acid from freerange hens potential traces of fish and mustard"," celery, eggs, gluten, milk","egg, wheat, milk", https://world.openfoodfacts.org/product/4056489193784/lasagnes-aux-legumes-lidl 
85, Potato and Onion Tortilla M&S, potatoes  pasteurised egg  onions  sunflower oil salt olive oil, eggs,egg, https://world.openfoodfacts.org/product/29155255/potato-and-onion-tortilla-marks-spencer 
86, The Complete Cookie Lenny & Larry's," protein blend vital wheat gluten, pea protein, rice protein, enriched wheat flour wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, vegetable glycerine, chicory root fiber, cane sugar, invert sugar, palm margarine palm oil, palm fractions, water, salt, emulsifiers sunflower lecithin, distilled monoglycerides, natural flavor, citric acid, mixed tocopherols antioxidant, vitamin a, betacarotene color, white chips sugar, palm kernel and palm oil, natural flavor, sunflower lecithin emulsifier, salt, oligofructose, macadamia nuts, sunflower lecithin, natural flavor, salt, baking soda, cultured dextrose, xanthan gum, guar gum"," gluten, nuts","wheat, tree nut", https://world.openfoodfacts.org/product/0787692838349/the-complete-cookie-lenny-larry-s 
87, Kinder Eggs Cacao Ferrero," superior milk chocolate  sugar, milk powder, cocoa butter, cocoa mass, emulsifiers lecithins soy, vanillin, sugar, vegetable fats palm, shea, skimmed milk powder , milk powder , wheat flour, lowfat cocoa , hazelnuts, concentrated butter, emulsifiers lecithins soy, vanillin, raising agents sodium bicarbonate, ammonium bicarbonate, salt"," gluten, milk, nuts, soybeans","wheat, milk, tree nut, soy", https://world.openfoodfacts.org/product/8000500243640/kinder-eggs-cacao-x12-oeufs-fourres-ferrero 
88, Pancakes Pepites de Chocolat Le Ster," wheat flour crc certified, pasteurized semiskimmed fresh milk, fresh eggs from freerange hens, rapeseed oil, sugar, chocolate chips cocoa mass, sugar, cocoa butter, dehydrated glucose syrup, stabilizer glycerol","  gluten, milk","wheat, milk", https://world.openfoodfacts.org/product/3255290253965/pancakes-pepites-de-chocolat-le-ster 
89, Egg Noodles Morrisons," fortified wheat flour wheat flour, iron, thiamin, nicotinic acid, calcium carbonate, water, pasteurised liquid whole free range egg , salt, firming agents potassium carbonate, sodium carbonate, colour mixed carotenes, acidity regulator citric acid"," eggs, gluten","egg, wheat", https://world.openfoodfacts.org/product/5010251562849/egg-noodles-morrisons 
90, Protein Sourdough Toasting Loaf Aldi," wheat flour wheat flour, calcium carbonate, folic acid, iron, niacin, thiamin, water, wheat protein , kibbled malted wheat, inactive rye sourdough, pea protein , fermented wheat flour, rye, rye flour, salt, sunflower seeds, brown linseed, malted barley flour, wheat bran, yellow linseed, yeast, spelt wheat, wheat, flour treatment agent ascorbic acid", gluten,wheat, https://world.openfoodfacts.org/product/4069365229156/protein-sourdough-toasting-loaf-aldi-specially-selected 
91, Classic Margherita Pizza Express," wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, mozzarella cheese milk , tomato , tomato pure, water, cheddar cheese milk , rapeseed oil, semolina wheat, salt, sugar, lemon juice, yeast, oregano, black pepper, basil"," gluten, milk","wheat, milk", https://world.openfoodfacts.org/product/5024530005293/classic-margherita-mozzarella-tomato-pizza-pizza-express 
